Country,"Population
(2017)"
United States,325084756
China,1421021791
Japan,127502725
Germany,82658409
India,1338676785
United Kingdom,66727461
France,64842509
Brazil,207833823
Italy,60673701
Canada,36732095
Russia,145530082
South Korea,51096415
Australia,24584620
Spain,46647428
Mexico,124777324
Indonesia,264650963
Turkey,81116450
Netherlands,17021347
Saudi Arabia,33101179
Switzerland,8455804
Argentina,43937140
Sweden,9904896
Poland,37953180
Belgium,11419748
Thailand,69209810
Iran,80673883
Austria,8819901
Norway,5296326
United Arab Emirates,9487203
Nigeria,190873244
Israel,8243848
South Africa,57009756
Hong Kong,7306322
Ireland,4753279
Denmark,5732274
Singapore,5708041
Malaysia,31104646
Colombia,48909839
Philippines,105172925
Pakistan,207906209
Chile,18470439
Finland,5511371
Bangladesh,159685424
Egypt,96442591
Vietnam,94600648
Portugal,10288527
Czech Republic (Czechia),10641034
Romania,19653969
Peru,31444298
New Zealand,4702034
Greece,10569450
Iraq,37552781
Algeria,41389189
Qatar,2724728
Kazakhstan,18080019
Hungary,9729823
Angola,29816766
Kuwait,4056099
Sudan,40813397
Ukraine,44487709
Morocco,35581255
Ecuador,16785361
Cuba,11339254
Slovakia,5447900
Sri Lanka,21128032
Ethiopia,106399924
Kenya,50221142
Dominican Republic,10513104
Guatemala,16914970
Oman,4665928
Myanmar,53382523
Luxembourg,591910
Panama,4106769
Ghana,29121465
Bulgaria,7102444
Costa Rica,4949954
Uruguay,3436641
Croatia,4182857
Belarus,9450231
Lebanon,6819373
Tanzania,54660339
Macao,622585
Uzbekistan,31959785
Slovenia,2076394
Lithuania,2845414
Serbia,8829628
Azerbaijan,9845320
Jordan,9785843
Tunisia,11433443
Paraguay,6867061
Libya,6580724
Turkmenistan,5757667
DR Congo,81398764
Bolivia,11192855
C̫te d'Ivoire,24437470
Bahrain,1494076
Cameroon,24566073
Yemen,27834819
Latvia,1951097
Estonia,1319390
Uganda,41166588
Zambia,16853599
Nepal,27632681
El Salvador,6388126
Iceland,334393
Honduras,9429013
Cambodia,16009409
Trinidad and Tobago,1384059
Cyprus,1179678
Zimbabwe,14236595
Senegal,15419355
Papua New Guinea,8438036
Afghanistan,36296113
Bosnia and Herzegovina,3351525
Botswana,2205080
Laos,6953035
Mali,18512430
Georgia,4008716
Gabon,2064823
Jamaica,2920848
State of Palestine,4747227
Nicaragua,6384846
Mauritius,1264499
Namibia,2402633
Albania,2884169
Mozambique,28649018
Malta,437933
Burkina Faso,19193234
Equatorial Guinea,1262002
Bahamas,381755
Brunei,424473
Armenia,2944791
Madagascar,25570512
Mongolia,3113786
North Macedonia,2081996
Guinea,12067519
Chad,15016753
Benin,11175198
Rwanda,11980961
Congo,5110695
Haiti,10982366
Moldova,4059684
Niger,21602382
Kyrgyzstan,6189733
Tajikistan,8880268
Malawi,17670196
Guam,164281
Fiji,877459
Mauritania,4282570
Maldives,496402
Montenegro,627563
Togo,7698474
Barbados,286232
Eswatini,1124805
Sierra Leone,7488423
Guyana,775222
Liberia,4702226
Burundi,10827019
Andorra,77001
Suriname,570496
Timor-Leste,1243258
Aruba,105366
Lesotho,2091534
Bhutan,745563
Central African Republic,4596023
Belize,375769
Cabo Verde,537498
Saint Lucia,180954
San Marino,33671
Northern Mariana Islands,56562
Antigua and Barbuda,95426
Seychelles,96418
Gambia,2213889
Guinea-Bissau,1828145
Solomon Islands,636039
Grenada,110874
Comoros,813892
Saint Kitts & Nevis,52045
Vanuatu,285510
Samoa,195352
St. Vincent & Grenadines,109827
American Samoa,55620
Dominica,71458
Tonga,101998
Sao Tome & Principe,207089
Palau,17808
Marshall Islands,58058
Kiribati,114158
Tuvalu,11370